tid,chinese,english,japanese
Little Star,小星星,Little Star,きらきら星
Jingle Bells,铃儿响叮当,Jingle Bells,ジングルベル
Canon,卡农,Canon,カノン
Two Tigers,两只老虎,Two Tigers,フレール・ジャック
Happy New Year,新年快乐,Happy New Year,ハッピー・ニュー・イヤー
Beyer No.8,拜厄练习曲No.8,Beyer No.8,バイエル 8番
Bluestone Alley,青石巷,Bluestone Alley,ブルーストーン・アレイ
Jasmine,茉莉花,Jasmine,ジャスミン
Dolls and Bear Dancing,洋娃娃和小熊跳舞,Dolls and Bear Dancing,はたけのポルカ
Happy Birthday to You,祝你生日快乐,Happy Birthday to You,お誕生日の歌
Heidenroslein,野玫瑰,Heidenroslein,野ばら
The Painter,粉刷匠,The Painter,ペインター
Nocturne Op.9 No.2,降E大调夜曲,Nocturne Op.9 No.2,夜想曲第2番
The Ruins of Athens No.4,雅典的废墟No.4,The Ruins of Athens No.4,トルコ行進曲
Waltz in A minor,a小调圆舞曲,Waltz in A minor,ワルツ イ短調
Gavotte,加沃特舞曲,Gavotte,ガヴォット
Por Una Cabeza,一步之遥,Por Una Cabeza,ポル・ウナ・カベーサ
Moments Musicaux,音乐瞬间,Moments Musicaux,楽興の時
Korobeiniki,卖货郎,Korobeiniki,コロブチカ
Waltz Op.64 No.1,小狗圆舞曲,Waltz Op.64 No.1,子犬のワルツ
Dance of the Sugar Fairy,糖果仙子之舞,Dance of the Sugar Fairy,金平糖の踊り
The Swan,天鹅,The Swan,白鳥
Prelude in C Major No.1,C大调前奏曲No.1,Prelude in C Major No.1,プレリュード 第1番 ハ長調
Tritsch Tratsch Polka,闲聊波尔卡,Tritsch Tratsch Polka,トリッチ・トラッチ・ポルカ
Cancan,康康舞曲,Cancan,フレンチカンカン
Sonata in D Major K311,D大调奏鸣曲K311,Sonata in D Major K311,ピアノソナタ ニ長調 K311
Symphony No.40 in g,g小调第四十交响曲,Symphony No.40 in g,交響曲第40番 ト短調
G minor Bach,g小调巴赫,G minor Bach,フーガ ト短調 バッハ
Sonatina Op.36 No.3,小奏鸣曲Op.36-3,Sonatina Op.36 No.3,ソナチネ Op.36-3
Etude Op.299 No.39,车尔尼Op.299-39,Etude Op.299 No.39,練習曲 Op.299-39
Sonata in C Major K545,C大调奏鸣曲K545,Sonata in C Major K545,ピアノソナタ ハ長調 K.545
Csikos Post,邮递马车,Csikos Post,クシコス・ポスト
Eine Kleine Nachtmusik,G大调小夜曲No.1,Eine Kleine Nachtmusik,アイネ・クライネ・ナハトムジーク
The Fountain,喷泉,The Fountain,ファウンテン
Etude Op.10 No.4,激流练习曲,Etude Op.10 No.4,エチュード Op.10-4
Gypsy Rondo,吉普赛回旋曲,Gypsy Rondo,ジプシー・ロンド
Spanish Dances,西班牙舞曲,Spanish Dances,スペイン舞曲
Sonata in A Major K331,A大调奏鸣曲K331,Sonata in A Major K331,ピアノソナタ イ長調 K331
Hungarian Dance No.5,匈牙利舞曲No.5,Hungarian Dance No.5,ハンガリー舞曲 第5番
The Entertainer,演艺人,The Entertainer,エンターテイナー
Santa Lucia,桑塔露琪娅,Santa Lucia,サンタルチア
Horse Racing,赛马,Horse Racing,二頭の馬の競走
American Patrol,巡逻兵进行曲,American Patrol,アメリカン・パトロール
Sonata No.34 - Finale,海顿奏鸣曲No.34,Sonata No.34 - Finale,ピアノソナタ第34番 -最終楽章
Polka,波尔卡,Polka,ポルカ
Minuet No.3,小步舞曲No.3,Minuet No.3,メヌエット 第3番
Radetzky March,拉德斯基进行曲,Radetzky March,ラデツキー行進曲
Carmen Overture,卡门序曲,Carmen Overture,カルメン 序曲
Invention No.13,二部创意No.13,Invention No.13,インベンション 第13番
Sonatina Op.36-3,小奏鸣曲Op.36-3,Sonatina Op.36-3,ソナチネ Op.36-3
William Tell Overture,威廉·退尔序曲,William Tell Overture,ウィリアム・テル  序曲
Bridal Chorus,婚礼合唱,Bridal Chorus,結婚行進曲
Humoresque No.7,幽默曲No.7,Humoresque No.7,ユモレスク 第7番
Moonlight Sonata Mvt.3,月光奏鸣曲 第三章,Moonlight Sonata Mvt.3,月光 第3楽章
Minuet in G,G大调小步舞曲,Minuet in G,メヌエット ト長調
Xinjiang Suite,新疆组曲,Xinjiang Suite,新疆組曲
Fantaisie - Impromptu,幻想即兴曲,Fantaisie - Impromptu,幻想即興曲
Harmonious Blacksmith,快乐的铁匠,Harmonious Blacksmith,調子のよい鍛冶屋
Liebestraum No.3,爱之梦,Liebestraum No.3,愛の夢 第3番
Appassionata Mvt.3,热情奏鸣曲 第三章,Appassionata Mvt.3,ピアノソナタ 熱情 第3楽章
Four Seasons - Spring,四季 - 春,Four Seasons - Spring,四季 - 春
La Campanella,钟,La Campanella,ラ・カンパネラ
Solfeggietto,视唱曲,Solfeggietto,ソルフェジエット
A La Claire Fontaine,在清澈的泉水边,A La Claire Fontaine,ア・ラ・クレール・フォンテーヌにて
Simple Gifts,简单的礼物,Simple Gifts,シンプル・ギフト
Hungarian Rhapsody No.6,匈牙利狂想曲No.6,Hungarian Rhapsody No.6,ハンガリー狂詩曲 第6番
Sonata Pathetique Mvt.1,悲怆奏鸣曲 第一章,Sonata Pathetique Mvt.1,ソナタ 悲愴 第1楽章
Waltz in E minor,e小调圆舞曲,Waltz in E minor,ワルツ ホ短調
Clarinet Polka,单簧管波尔卡,Clarinet Polka,クラリネット・ポルカ
Lyric Waltz,抒情圆舞曲,Lyric Waltz,リリック・ワルツ
Sonatina Op.88 No.3,小奏鸣曲Op.88-3,Sonatina Op.88 No.3,ソナチネ Op.88-3
Rondo A Capriccio Op.129,回旋随想曲Op.129,Rondo A Capriccio Op.129,ロンド・ア・カプリッチョ Op.129
The Skater's Waltz,溜冰圆舞曲,The Skater's Waltz,スケーターズ・ワルツ
Breeze,清风,Breeze,ブリーズ
Etude de Virtuosite in E,E大调练习曲,Etude de Virtuosite in E,15の練習曲 ホ長調
Sweet Bye and Bye,甜蜜变奏曲,Sweet Bye and Bye,スイート・バイ・アンド・バイ
Allemande,阿勒曼德舞曲,Allemande,アルマンド
Goldberg Variations,哥德堡变奏曲,Goldberg Variations,ゴルトベルク変奏曲
Tzigane Dance,茨冈舞曲,Tzigane Dance,ツィガーヌ・ダンス
Sonata in F Major Mvt.3,F大调奏鸣曲 第三章,Sonata in F Major Mvt.3,ピアノソナタ ヘ長調 第3楽章
Etude Op.10 No.8,练习曲Op.10 No.8,Etude Op.10 No.8,練習曲 Op.10-8
Sonata in E minor Mvt.1,e小调奏鸣曲 第一章,Sonata in E minor Mvt.1,ピアノソナタ ホ長調 第1楽章
Knecht Ruprecht,圣诞老人,Knecht Ruprecht,者ループレヒト
Etude Op.34 No.10,c小调练习曲,Etude Op.34 No.10,前奏曲 Op.34 第10番
Fugue No.16 in G minor,g小调赋格,Fugue No.16 in G minor,フーガ 第16番 ト短調
Sonata in D Major K284,D大调奏鸣曲K284,Sonata in D Major K284,ピアノソナタ ニ長調 K284
Inventions No.15,三部创意No.15,Inventions No.15,インベンション第15番
Etude Op.6 No.8,练习曲Op.6 No.8,Etude Op.6 No.8,練習曲 Op.6-8
Etude Op.849 No.16,车尔尼Op.849 No.16,Etude Op.849 No.16,練習曲 Op.849-16
Waltz No.16,圆舞曲No.16,Waltz No.16,ワルツ 第16番
WTC1 No.3,前奏曲BWV848,WTC1 No.3,WTC1 第3番
Der Vogelfaenger bin ich ja,我是一个快乐的捕鸟人,Der Vogelfaenger bin ich ja,私は鳥刺し
Carnaval Op.9 No.14,狂欢节Op.9 No.14,Carnaval Op.9 No.14,謝肉祭 Op.9-14
Arabesque Op.76 No.9,花纹Op.76 No.9,Arabesque Op.76 No.9,アラベスク Op.76-9
Bagpipe Dance,风笛舞曲,Bagpipe Dance,バグパイプ舞曲
The Happy Farmer,快乐的农夫,The Happy Farmer,楽しき農夫
Variations of Paganini,帕格尼尼主题变奏曲,Variations of Paganini,パガニーニの主題による変奏曲
Penguin's Game,企鹅舞,Penguin's Game,ペンギンズ・ゲーム
The Wild Horseman,勇敢的骑士,The Wild Horseman,勇敢な騎士
Etude No.23,克拉莫练习曲No.23,Etude No.23,練習曲 第23番
French Suite No.4-Gigue,基格法国组曲第四组,French Suite No.4-Gigue,フランス組曲 第4番 「ジーグ」
The Nightingale,夜莺,The Nightingale,ナイチンゲール
Gertrude's dream waltz,格特鲁德的梦想,Gertrude's dream waltz,ガートルードの夢のワルツ
Loure,卢尔舞曲,Loure,ルール（舞曲）
Craving for the Spring Wind,望春风,Craving for the Spring Wind,望春風
Neopolitan Dance,拿波里舞曲,Neopolitan Dance,ナポリの踊り
Sonata in C Major K330 Mvt.1,C大调奏鸣曲K330 第一章,Sonata in C Major K330 Mvt.1,ピアノソナタ 第10番 ハ長調 K330 第1楽章
Invention No.2,二部创意曲No.2,Invention No.2,インベンション 第2番
Hands Across The Sea,越海之谊进行曲,Hands Across The Sea,海を越える握手
Album Leaf,纪念册的第一页,Album Leaf,『アルバムのページ』作品7
Moment Musical Op.94 No.4,音乐瞬间Op.94 No.4,Moment Musical Op.94 No.4,楽興の時 Op.94-4
Romanian Folk Dances No.6,碎步舞曲,Romanian Folk Dances No.6,ルーマニア民俗舞曲 第6番
Prelude Op.12 No.7,前奏曲Op.12 No.7,Prelude Op.12 No.7,練習曲 Op.12-7
3 Ecossaises Op.72 No.3,苏格兰舞曲Op.72 No.3,3 Ecossaises Op.72 No.3,3つのエコセーズ Op.72-3
Searchlight Rag,探照灯拉格,Searchlight Rag,サーチライト・ラグ
Bach Piano Concerto No.1,巴赫第一钢琴协奏曲,Bach Piano Concerto No.1,バッハ ピアノ協奏曲 第1番
Walzer,圆舞曲,Walzer,ワルツ
Lively Spring Festival,闹春,Lively Spring Festival,ライブリー・スプリング・フェスティバル
Etude Op.740 No.31,练习曲 Op.740 No.31,Etude Op.740 No.31,練習曲 Op.740-31
Market,集市,Market,マーケット
Melody,旋律,Melody,メロディ
Etude Op.37 No.29,练习曲 Op.37 No.29,Etude Op.37 No.29,練習曲 Op.37-29
Carol of the Bells,钟声响,Carol of the Bells,キャロル・オブ・ザ・ベル
The Hebrides Overture,小鸟啼鸣,The Hebrides Overture,フィンガルの洞窟
Heather Rose,杂色玫瑰,Heather Rose,荒野のばら
"Home, Sweet home",可爱的家,"Home, Sweet home",埴生の宿
Mazurka Op.39 No.11,玛祖卡 Op.39 No.11,Mazurka Op.39 No.11,マズルカ Op.39-11
Palm Leaf Rag,棕榈叶拉格,Palm Leaf Rag,パーム・リーフ・ラグ
Troika E Major,在十一月的马车上,Troika E Major,トロイカ ホ長調
Old Folks at Home,故乡的亲人,Old Folks at Home,故郷の人々
Hunting Song,猎歌,Hunting Song,ハンティング・ソング
Fall,落,Fall,フォール
Romance,浪漫曲,Romance,ロマンス
Soldaten Marsch,士兵进行曲,Soldaten Marsch,兵隊の行進曲
Non Piu Andrai,你再不要去做情郎,Non Piu Andrai,もう飛ぶまいぞこの蝶々
"Long, Long Ago",多年以前,"Long, Long Ago",久しき昔
Rondo A Major,A大调回旋曲,Rondo A Major,ロンド イ長調
March from Norma,诺尔玛大进行曲,March from Norma,ノルマの行進曲
The music box,八音盒,The music box,ミュージックボックス
Barcarolle d'Hoffmann,霍夫曼船歌,Barcarolle d'Hoffmann,ホフマンの舟歌
Restless Galop,不停息的加洛普舞曲 ,Restless Galop,レストレス・ギャロップ
Prelude in g minor BWV930,g小调小前奏曲 ,Prelude in g minor BWV930,練習曲 ト短調 BWV930
Elite Syncopations,精彩的切分音,Elite Syncopations,エリート・シンコペーションズ
Andante from Orfeo ed Euridice,行板,Andante from Orfeo ed Euridice,オルフェオとエウリディーチェ
Magnetic Rag,吸引力拉格泰姆,Magnetic Rag,マグネティック・ラグ
Starlight Waltz,星光圆舞曲,Starlight Waltz,星影のワルツ
Les Sylphes,精灵,Les Sylphes,空気の精
Va pensiero,囚徒合唱,Va pensiero,ナブッコ
Wiener March,维也纳进行曲,Wiener March,ウィーン行進曲
Emperor Waltz Op.437,皇帝圆舞曲,Emperor Waltz Op.437,皇帝円舞曲 Op.437
Rondo allegretto Op.168 No.1,回旋曲 Op.168 No.1,Rondo allegretto Op.168 No.1,ロンド・アレグレット Op.168-1
Andante from Concerto No.21,第二十一协奏曲 行板,Andante from Concerto No.21,ピアノ協奏曲第21番
Alles fuhlt der Liebe Freuden,所有生物都感受到爱的狂喜,Alles fuhlt der Liebe Freuden,魔笛
Rondo in C Major Op.51 No.1,C大调回旋曲 Op.51 No.1,Rondo in C Major Op.51 No.1,ロンド ハ長調 Op.51-1
Rondo alla Turca Op.68 No.3,土耳其风格回旋曲,Rondo alla Turca Op.68 No.3,トルコ風ロンド Op.68-3
Etude Op.849 No.6,练习曲 Op.849 No.6,Etude Op.849 No.6,Etude Op.849 No.6
Etude Op.849 No.21,练习曲 Op.849 No.21,Etude Op.849 No.21,Etude Op.849 No.21
Etude Op.740 No.19,练习曲 Op.740 No.19,Etude Op.740 No.19,Etude Op.740 No.19
Etude Op.740 No.42,练习曲 Op.740 No.42,Etude Op.740 No.42,Etude Op.740 No.42
Etude Op.299 No.11,练习曲 Op.299 No.11,Etude Op.299 No.11,Etude Op.299 No.11
Kitten Cleo,猫咪克莱奥,Kitten Cleo,Kitten Cleo
Johnny Has Gone for a Soldier,强尼从军去,Johnny Has Gone for a Soldier,Johnny Has Gone for a Soldier
The Whisper Of West Wind,西风的话,The Whisper Of West Wind,The Whisper Of West Wind
Moon In Breezy Night,月夜海风,Moon In Breezy Night,Moon In Breezy Night
Sonata for Two Pianos K448,双钢琴奏鸣曲 K448,Sonata for Two Pianos K448,Sonata for Two Pianos K448
Old MacDonald Had a Farm,老麦克唐纳有个农场,Old MacDonald Had a Farm,Old MacDonald Had a Farm
Colourful Clouds Chasing The Moon,彩云追月,Colourful Clouds Chasing The Moon,Colourful Clouds Chasing The Moon
The More We Get Together,我们同在一起,The More We Get Together,The More We Get Together
Spirits Of The Wetlands,湿地小精灵 ,Spirits Of The Wetlands,Spirits Of The Wetlands
Bella Figlia Dell'Amore,美丽的爱之女,Bella Figlia Dell'Amore,Bella Figlia Dell'Amore
El Reencuentro,重逢,El Reencuentro,El Reencuentro
Clair de Lune,月光曲,Clair de Lune,Clair de Lune
Csardas,查尔达斯,Csardas,Csardas
Dance of the Little Swans,四小天鹅,Dance of the Little Swans,Dance of the Little Swans
Ten Little Indians,十个小印第安人,Ten Little Indians,Ten Little Indians
Spinner,纺织姑娘,Spinner,Spinner
Birds Worship Phoenix,百鸟朝凤,Birds Worship Phoenix,Birds Worship Phoenix
Bella Ciao,啊朋友再见,Bella Ciao,Bella Ciao
Two Minute Rhapsody,两分钟狂想曲,Two Minute Rhapsody,Two Minute Rhapsody
Prisoners Dream,夜囚梦醒,Prisoners Dream,Prisoners Dream
London Bridge Is Falling Down,伦敦铁桥垮下来,London Bridge Is Falling Down,London Bridge Is Falling Down
Old Black Joe,老黑奴,Old Black Joe,Old Black Joe
Little Red Riding Hood,小红帽,Little Red Riding Hood,Little Red Riding Hood
Polonaise Op.40 No.1,波兰军队舞曲 Op.40 No.1,Polonaise Op.40 No.1,Polonaise Op.40 Nr.1
Drei Intermezzi,降E大调间奏曲,Drei Intermezzi,Drei Intermezzi
